                Game of the Rope - Description of the internal state
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
WTC  WFRC SAB  9 SAB  9 SAB  8 SAB  8 SAB 10  WFRC DYB  9 SAB  8 SAB  9 SAB 10 SAB 10 5 - - . - - - 1  0
WTC  WFRC SAB  9 SAB  9 SAB  8 SAB  8 SAB 10  WFRC SAB  8 SAB  8 SAB  9 SAB 10 SAB 10 - - - . - - - 1  0
TRY  WFRC SAB  9 SAB  9 SAB  8 SAB  8 SAB 10  WFRC SAB  8 SAB  8 SAB  9 SAB 10 SAB 10 - - - . - - - -  -
TRY  WFRC SAB  9 SAB  9 SAB  8 SAB  8 SAB 10  ASTM SAB  8 SAB  8 SAB  9 SAB 10 SAB 10 - - - . - - - -  -
TRY  WFRC SAB  9 SAB  9 SAB  8 SAB  8 SAB 10  ASTM SAB  8 SAB  9 SAB  9 SAB 10 SAB 10 - - - . - - - -  -
TRY  WFRC SAB  9 SAB  9 SAB  8 SAB  8 SAB 10  ASTM SAB  8 SAB  9 SAB 10 SAB 10 SAB 10 - - - . - - - -  -
TRY  ASTM SAB  9 SAB  9 SAB  8 SAB  8 SAB 10  ASTM SAB  8 SAB  9 SAB 10 SAB 10 SAB 10 - - - . - - - -  -
TRY  ASTM SAB  9 SAB 10 SAB  8 SAB  8 SAB 10  ASTM SAB  8 SAB  9 SAB 10 SAB 10 SAB 10 - - - . - - - -  -
TRY  ASTM SAB  9 SAB 10 SAB  8 SAB  9 SAB 10  ASTM SAB  8 SAB  9 SAB 10 SAB 10 SAB 10 - - - . - - - -  -
TRY  ASTM SAB  9 SAB 10 SAB  8 SAB  9 SIP 10  ASTM SAB  8 SAB  9 SAB 10 SAB 10 SAB 10 - - - . 4 - - -  -
TRY  ASTM SAB  9 SAB 10 SAB  8 SAB  9 SIP 10  ASTM SAB  8 SAB  9 SAB 10 SAB 10 SIP 10 9 - - . 4 - - -  -
TRY  ASTM SIP  9 SAB 10 SAB  8 SAB  9 SIP 10  ASTM SAB  8 SAB  9 SAB 10 SAB 10 SIP 10 9 - - . 4 0 - -  -
TRY  ASTM SIP  9 SAB 10 SIP  8 SAB  9 SIP 10  ASTM SAB  8 SAB  9 SAB 10 SAB 10 SIP 10 9 - - . 4 0 2 -  -
TRY  ASTM SIP  9 SAB 10 SIP  8 SAB  9 SIP 10  ASTM SAB  8 SAB  9 SAB 10 SIP 10 SIP 10 9 8 - . 4 0 2 -  -
TRY  ASTM SIP  9 SAB 10 SIP  8 SAB  9 SIP 10  ASTM SIP  8 SAB  9 SAB 10 SIP 10 SIP 10 9 8 5 . 4 0 2 -  -
TRY  WATL SIP  9 SAB 10 SIP  8 SAB  9 SIP 10  ASTM SIP  8 SAB  9 SAB 10 SIP 10 SIP 10 9 8 5 . 4 0 2 -  -
TRY  WATL SIP  9 SAB 10 SIP  8 SAB  9 SIP 10  WATL SIP  8 SAB  9 SAB 10 SIP 10 SIP 10 9 8 5 . 4 0 2 -  -
TRY  WATL SIP  9 SAB 10 SIP  8 SAB  9 SIP 10  WATL SIP  8 SAB  9 SAB 10 SIP 10 SIP 10 9 8 5 . 4 0 2 -  -
WTC  WATL SIP  9 SAB 10 SIP  8 SAB  9 SIP 10  WATL SIP  8 SAB  9 SAB 10 SIP 10 SIP 10 9 8 5 . 4 0 2 2  0
WTC  WATL SIP  9 SAB 10 SIP  8 SAB  9 SIP 10  WATL SIP  8 SAB  9 SAB 10 DYB 10 SIP 10 9 8 5 . 4 0 2 2  0
WTC  WATL SIP  9 SAB 10 DYB  8 SAB  9 SIP 10  WATL SIP  8 SAB  9 SAB 10 DYB 10 SIP 10 9 8 5 . 4 0 2 2  0
WTC  WATL DYB  9 SAB 10 DYB  8 SAB  9 SIP 10  WATL SIP  8 SAB  9 SAB 10 DYB 10 SIP 10 9 8 5 . 4 0 2 2  0
WTC  WATL DYB  9 SAB 10 DYB  8 SAB  9 SIP 10  WATL SIP  8 SAB  9 SAB 10 DYB 10 DYB 10 9 8 5 . 4 0 2 2  0
