                Game of the Rope - Description of the internal state
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
001   001 001  8 001  6 001  8 001  7 001  9   001 001  8 001 10 001  9 001  9 001  7 - - - . - - - -  -
Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
003   003 002  7 001  8 002  7 001  9 002  8   002 002  9 002  9 002  8 001  9 001  9 5 6 7 . 0 2 4 -  -
003   003 002  7 001  8 002  7 001  9 002  8   003 002  9 002  9 002  8 001  9 001  9 5 6 7 . 0 2 4 -  -
003   003 002  7 001  8 002  7 001  9 002  8   003 002  9 002  9 002  8 001  9 001  9 5 6 7 . 0 2 4 -  -
004   003 002  7 001  8 002  7 001  9 002  8   003 002  9 002  9 002  8 001  9 001  9 5 6 7 . 0 2 4 2  3
004   003 002  7 001  8 003  7 001  9 002  8   003 002  9 002  9 002  8 001  9 001  9 5 6 7 . 0 2 4 2  3
004   003 002  7 001  8 003  7 001  9 002  8   003 002  9 002  9 003  8 001  9 001  9 5 6 7 . 0 2 4 2  3
004   003 002  7 001  8 003  7 001  9 002  8   003 002  9 003  9 003  8 001  9 001  9 5 6 7 . 0 2 4 2  3
004   003 003  7 001  8 003  7 001  9 002  8   003 002  9 003  9 003  8 001  9 001  9 5 6 7 . 0 2 4 2  3
004   003 003  7 001  8 003  7 001  9 002  8   003 003  9 003  9 003  8 001  9 001  9 5 6 7 . 0 2 4 2  3
004   003 003  7 001  8 003  7 001  9 003  8   003 003  9 003  9 003  8 001  9 001  9 5 6 7 . 0 2 4 2  3
004   003 003  7 001  8 003  7 001  9 003  8   003 003  9 003  9 003  8 001  9 001  9 5 6 7 . 0 2 4 2  7
004   003 003  7 001  8 003  7 001  9 003  8   003 003  9 003  9 003  8 001  9 001  9 5 6 7 . 0 2 4 2  7
004   001 003  7 001  8 003  7 001  9 003  8   003 003  9 003  9 003  8 001  9 001  9 5 6 7 . 0 2 4 2  7
004   001 003  7 001  8 003  7 001  9 003  8   003 003  9 001  8 003  8 001  9 001  9 5 7 - . 0 2 4 2  7
004   001 003  7 001  8 003  7 001  9 003  8   001 003  9 001  8 003  8 001  9 001  9 5 7 - . 0 2 4 2  7
004   001 001  6 001  8 003  7 001  9 003  8   001 003  9 001  8 003  8 001  9 001  9 5 7 - . 2 4 - 2  7
004   001 001  6 001  8 003  7 001  9 003  8   001 001  8 001  8 003  8 001  9 001  9 7 - - . 2 4 - 2  7
004   001 001  6 001  8 003  7 001  9 003  8   001 001  8 001  8 001  7 001  9 001  9 - - - . 2 4 - 2  7
004   001 001  6 001  8 003  7 001  9 001  7   001 001  8 001  8 001  7 001  9 001  9 - - - . 2 - - 2  7
004   001 001  6 001  8 001  6 001  9 001  7   001 001  8 001  8 001  7 001  9 001  9 - - - . - - - 2  7
005   001 001  6 001  8 001  6 001  9 001  7   001 001  8 001  8 001  7 001  9 001  9 - - - . - - - -  -
Game 1 was won by team 1 by knock out in 2 trials.
Game 2
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
002   001 001  6 001  8 001  6 001  9 001  7   001 001  8 001  8 001  7 001  9 001  9 - - - . - - - -  -
